appname,os,ec2name,amiid,instype,storage1,storage2,vpc,subnet,secgroup1,secgroup2,secgroup3,usertodel1,usertodel2,usertodel3,usertodel4,usertoadd1,usertoadd2,packtoremove1,packtoremove2,packtoremove3,packtoremove4
,,sonal-test,ami-7c491f05,t2.micro,,,vpc-fb13809c,subnet-368c1e7f,sg-0ff0ccfd93581a6d2,sg-045a90a80e61cedca,sg-05aa83fed0540bbd8,,,,,,,,,,
,,sonal-test2,ami-7c491f05,t2.micro,,,vpc-fb13809c,subnet-368c1e7f,sg-0ff0ccfd93581a6d2,sg-045a90a80e61cedca,sg-05aa83fed0540bbd8,,,,,,,,,,
,,sonal-test3,ami-7c491f05,t2.micro,,,,subnet-036c5eeed51ffdcd2,sg-0ff0ccfd93581a6d2,sg-045a90a80e61cedca,sg-05aa83fed0540bbd8,,,,,,,,,,
